CMDLINE python python/solution_pandas.py
MEM 643.187500 1614116224.1961
MEM 652.167969 1614116224.2965
MEM 661.433594 1614116224.3968
MEM 670.945312 1614116224.4971
MEM 679.484375 1614116224.5975
MEM 686.691406 1614116224.6978
MEM 693.910156 1614116224.7983
MEM 701.937500 1614116224.8987
MEM 711.468750 1614116224.9990
MEM 720.804688 1614116225.0993
MEM 730.085938 1614116225.1996
MEM 739.421875 1614116225.3000
MEM 748.757812 1614116225.4003
MEM 758.363281 1614116225.5007
MEM 767.539062 1614116225.6010
MEM 771.144531 1614116225.7014
MEM 771.144531 1614116225.8019
MEM 771.144531 1614116225.9023
MEM 771.144531 1614116226.0028
MEM 778.656250 1614116226.1031
MEM 788.246094 1614116226.2035
MEM 797.554688 1614116226.3038
MEM 807.156250 1614116226.4042
MEM 816.554688 1614116226.5045
MEM 825.929688 1614116226.6049
MEM 835.089844 1614116226.7052
MEM 844.277344 1614116226.8056
MEM 853.132812 1614116226.9059
MEM 862.046875 1614116227.0062
MEM 870.953125 1614116227.1065
MEM 879.578125 1614116227.2069
MEM 887.402344 1614116227.3073
MEM 896.222656 1614116227.4077
MEM 904.781250 1614116227.5080
MEM 913.265625 1614116227.6085
MEM 921.593750 1614116227.7088
MEM 930.246094 1614116227.8091
MEM 939.117188 1614116227.9094
MEM 948.191406 1614116228.0098
MEM 956.980469 1614116228.1102
MEM 966.230469 1614116228.2105
MEM 969.140625 1614116228.3109
MEM 969.140625 1614116228.4112
MEM 969.140625 1614116228.5116
MEM 969.140625 1614116228.6121
MEM 969.140625 1614116228.7125
MEM 974.394531 1614116228.8128
MEM 982.199219 1614116228.9131
MEM 991.542969 1614116229.0135
MEM 1000.363281 1614116229.1138
MEM 1008.878906 1614116229.2142
MEM 1017.019531 1614116229.3145
MEM 1024.363281 1614116229.4148
MEM 1029.890625 1614116229.5151
MEM 1038.496094 1614116229.6154
MEM 1047.121094 1614116229.7158
MEM 1056.320312 1614116229.8162
MEM 1065.000000 1614116229.9165
MEM 1074.132812 1614116230.0169
MEM 1083.078125 1614116230.1172
MEM 1092.343750 1614116230.2176
MEM 1101.527344 1614116230.3179
MEM 1110.722656 1614116230.4183
MEM 1119.933594 1614116230.5186
MEM 1129.156250 1614116230.6189
MEM 1138.378906 1614116230.7193
MEM 1147.484375 1614116230.8197
MEM 1156.929688 1614116230.9201
MEM 1166.148438 1614116231.0204
MEM 1175.136719 1614116231.1208
MEM 1184.351562 1614116231.2212
MEM 1193.621094 1614116231.3215
MEM 1202.675781 1614116231.4219
MEM 1211.628906 1614116231.5223
MEM 1215.988281 1614116231.6227
MEM 1215.988281 1614116231.7231
MEM 1215.988281 1614116231.8235
MEM 1215.988281 1614116231.9239
MEM 1215.988281 1614116232.0242
MEM 1215.988281 1614116232.1246
MEM 1221.726562 1614116232.2250
MEM 1230.964844 1614116232.3254
MEM 1239.902344 1614116232.4257
MEM 1248.789062 1614116232.5261
MEM 1257.832031 1614116232.6264
MEM 1266.593750 1614116232.7268
MEM 1275.636719 1614116232.8271
MEM 1284.640625 1614116232.9274
MEM 1293.351562 1614116233.0278
MEM 1302.414062 1614116233.1282
MEM 1311.101562 1614116233.2285
MEM 1320.039062 1614116233.3288
MEM 1329.031250 1614116233.4292
MEM 1338.164062 1614116233.5295
MEM 1347.359375 1614116233.6299
MEM 1356.238281 1614116233.7302
MEM 1365.386719 1614116233.8306
MEM 1374.480469 1614116233.9309
MEM 1383.507812 1614116234.0312
MEM 1392.554688 1614116234.1316
MEM 1401.585938 1614116234.2319
MEM 1410.585938 1614116234.3322
MEM 1419.589844 1614116234.4326
MEM 1428.765625 1614116234.5329
MEM 1437.812500 1614116234.6333
MEM 1446.808594 1614116234.7336
MEM 1455.773438 1614116234.8340
MEM 1464.484375 1614116234.9343
MEM 1473.433594 1614116235.0346
MEM 1482.492188 1614116235.1350
MEM 1491.632812 1614116235.2352
MEM 1500.703125 1614116235.3356
MEM 1509.648438 1614116235.4359
MEM 1518.574219 1614116235.5363
MEM 1527.613281 1614116235.6366
MEM 1530.449219 1614116235.7370
MEM 1530.449219 1614116235.8375
MEM 1530.449219 1614116235.9379
MEM 1530.449219 1614116236.0383
MEM 1530.449219 1614116236.1388
MEM 1530.449219 1614116236.2392
MEM 1530.449219 1614116236.3396
MEM 1532.593750 1614116236.4400
MEM 1541.250000 1614116236.5403
MEM 1550.457031 1614116236.6407
MEM 1559.691406 1614116236.7410
MEM 1568.683594 1614116236.8414
MEM 1577.761719 1614116236.9417
MEM 1586.718750 1614116237.0421
MEM 1595.570312 1614116237.1424
MEM 1604.703125 1614116237.2428
MEM 1613.574219 1614116237.3431
MEM 1622.781250 1614116237.4435
MEM 1631.628906 1614116237.5439
MEM 1640.718750 1614116237.6442
MEM 1649.632812 1614116237.7445
MEM 1658.683594 1614116237.8448
MEM 1667.574219 1614116237.9452
MEM 1676.425781 1614116238.0455
MEM 1685.324219 1614116238.1459
MEM 1694.429688 1614116238.2462
MEM 1703.507812 1614116238.3466
MEM 1712.417969 1614116238.4470
MEM 1721.234375 1614116238.5473
MEM 1730.371094 1614116238.6477
MEM 1739.257812 1614116238.7480
MEM 1748.343750 1614116238.8484
MEM 1757.195312 1614116238.9488
MEM 1766.324219 1614116239.0491
MEM 1775.191406 1614116239.1495
MEM 1784.250000 1614116239.2498
MEM 1792.945312 1614116239.3502
MEM 1801.921875 1614116239.4505
MEM 1810.777344 1614116239.5509
MEM 1819.679688 1614116239.6512
MEM 1828.464844 1614116239.7515
MEM 1836.324219 1614116239.8518
MEM 1844.375000 1614116239.9522
MEM 1852.726562 1614116240.0525
MEM 1860.800781 1614116240.1528
MEM 1868.347656 1614116240.2531
MEM 1876.468750 1614116240.3534
MEM 1885.285156 1614116240.4538
MEM 1893.109375 1614116240.5541
MEM 1901.234375 1614116240.6545
MEM 1910.214844 1614116240.7548
MEM 1915.035156 1614116240.8552
MEM 1915.035156 1614116240.9556
MEM 1915.035156 1614116241.0560
MEM 1915.035156 1614116241.1565
MEM 1915.035156 1614116241.2569
MEM 1915.035156 1614116241.3573
MEM 1915.035156 1614116241.4578
MEM 1915.035156 1614116241.5582
MEM 1915.035156 1614116241.6586
MEM 1917.292969 1614116241.7589
MEM 1926.132812 1614116241.8593
MEM 1935.269531 1614116241.9596
MEM 1944.058594 1614116242.0600
MEM 1952.886719 1614116242.1603
MEM 1961.738281 1614116242.2606
MEM 1969.582031 1614116242.3610
MEM 1976.621094 1614116242.4613
MEM 1984.421875 1614116242.5617
MEM 1992.500000 1614116242.6621
MEM 2001.054688 1614116242.7624
MEM 2009.636719 1614116242.8628
MEM 2018.226562 1614116242.9631
MEM 2027.097656 1614116243.0634
MEM 2035.937500 1614116243.1638
MEM 2044.710938 1614116243.2641
MEM 2053.523438 1614116243.3645
MEM 2062.152344 1614116243.4648
MEM 2070.703125 1614116243.5651
MEM 2079.062500 1614116243.6655
MEM 2088.109375 1614116243.7659
MEM 2097.226562 1614116243.8662
MEM 2106.042969 1614116243.9665
MEM 2114.398438 1614116244.0668
MEM 2122.929688 1614116244.1672
MEM 2131.515625 1614116244.2676
MEM 2140.101562 1614116244.3679
MEM 2148.648438 1614116244.4682
MEM 2158.242188 1614116244.5686
MEM 2167.171875 1614116244.6689
MEM 2175.941406 1614116244.7693
MEM 2184.714844 1614116244.8696
MEM 2193.527344 1614116244.9701
MEM 2201.593750 1614116245.0704
MEM 2210.425781 1614116245.1707
MEM 2218.992188 1614116245.2711
MEM 2227.863281 1614116245.3714
MEM 2236.136719 1614116245.4718
MEM 2244.496094 1614116245.5722
MEM 2253.035156 1614116245.6725
MEM 2261.140625 1614116245.7728
MEM 2269.468750 1614116245.8732
MEM 2277.781250 1614116245.9735
MEM 2286.164062 1614116246.0739
MEM 2294.800781 1614116246.1742
MEM 2303.457031 1614116246.2746
MEM 2312.300781 1614116246.3749
MEM 2320.652344 1614116246.4752
MEM 2329.265625 1614116246.5756
MEM 2338.210938 1614116246.6759
MEM 2346.867188 1614116246.7763
MEM 2355.542969 1614116246.8766
MEM 2364.187500 1614116246.9770
MEM 2372.886719 1614116247.0773
MEM 2381.781250 1614116247.1777
MEM 2382.296875 1614116247.2781
MEM 2382.296875 1614116247.3786
MEM 2382.296875 1614116247.4790
MEM 2382.296875 1614116247.5794
MEM 2382.296875 1614116247.6799
MEM 2382.296875 1614116247.7804
MEM 2382.296875 1614116247.8808
MEM 2382.296875 1614116247.9813
MEM 2382.296875 1614116248.0817
MEM 2382.296875 1614116248.1821
MEM 2382.296875 1614116248.2826
MEM 2382.296875 1614116248.3830
MEM 2382.812500 1614116248.4836
MEM 2386.929688 1614116248.5839
MEM 2394.863281 1614116248.6843
MEM 2404.117188 1614116248.7846
MEM 2413.125000 1614116248.8850
MEM 2421.863281 1614116248.9853
MEM 2430.339844 1614116249.0856
MEM 2438.843750 1614116249.1860
MEM 2447.851562 1614116249.2863
MEM 2456.785156 1614116249.3867
MEM 2465.265625 1614116249.4870
MEM 2473.593750 1614116249.5873
MEM 2478.234375 1614116249.6877
MEM 2486.140625 1614116249.7880
MEM 2495.222656 1614116249.8883
MEM 2503.511719 1614116249.9887
MEM 2512.339844 1614116250.0890
MEM 2520.859375 1614116250.1894
MEM 2529.730469 1614116250.2898
MEM 2538.347656 1614116250.3901
MEM 2547.222656 1614116250.4904
MEM 2555.839844 1614116250.5908
MEM 2564.898438 1614116250.6912
MEM 2573.691406 1614116250.7915
MEM 2582.718750 1614116250.8919
MEM 2591.804688 1614116250.9922
MEM 2600.574219 1614116251.0927
MEM 2609.621094 1614116251.1930
MEM 2618.460938 1614116251.2934
MEM 2627.566406 1614116251.3938
MEM 2636.378906 1614116251.4942
MEM 2645.265625 1614116251.5945
MEM 2653.855469 1614116251.6948
MEM 2659.582031 1614116251.7951
MEM 2668.636719 1614116251.8955
MEM 2671.218750 1614116251.9958
MEM 2680.542969 1614116252.0962
MEM 2689.367188 1614116252.1965
MEM 2697.917969 1614116252.2969
MEM 2706.742188 1614116252.3973
MEM 2715.273438 1614116252.4976
MEM 2723.847656 1614116252.5980
MEM 2731.085938 1614116252.6984
MEM 2739.449219 1614116252.7987
MEM 2747.972656 1614116252.8990
MEM 2756.804688 1614116252.9994
MEM 2765.425781 1614116253.0997
MEM 2773.542969 1614116253.2001
MEM 2782.261719 1614116253.3004
MEM 2790.625000 1614116253.4008
MEM 2799.015625 1614116253.5011
MEM 2807.691406 1614116253.6015
MEM 2816.453125 1614116253.7018
MEM 2824.906250 1614116253.8021
MEM 2833.292969 1614116253.9025
MEM 2842.027344 1614116254.0029
MEM 2850.656250 1614116254.1032
MEM 2859.273438 1614116254.2036
MEM 2867.886719 1614116254.3039
MEM 2876.234375 1614116254.4042
MEM 2884.683594 1614116254.5046
MEM 2893.332031 1614116254.6049
MEM 2901.726562 1614116254.7053
MEM 2910.218750 1614116254.8056
MEM 2918.605469 1614116254.9059
MEM 2927.242188 1614116255.0063
MEM 2935.753906 1614116255.1066
MEM 2944.441406 1614116255.2069
MEM 2953.035156 1614116255.3073
MEM 2961.453125 1614116255.4076
MEM 2970.175781 1614116255.5080
MEM 2978.820312 1614116255.6083
MEM 2980.218750 1614116255.7087
MEM 2980.218750 1614116255.8092
MEM 2980.218750 1614116255.9096
MEM 2980.218750 1614116256.0100
MEM 2980.218750 1614116256.1104
MEM 2980.218750 1614116256.2108
MEM 2980.218750 1614116256.3112
MEM 2980.218750 1614116256.4117
MEM 2980.218750 1614116256.5121
MEM 2980.218750 1614116256.6126
MEM 2980.218750 1614116256.7130
MEM 2980.218750 1614116256.8134
MEM 2980.218750 1614116256.9138
MEM 2980.218750 1614116257.0142
MEM 2981.804688 1614116257.1145
MEM 2990.441406 1614116257.2149
MEM 2999.417969 1614116257.3153
MEM 3008.125000 1614116257.4156
MEM 3016.933594 1614116257.5159
MEM 3025.296875 1614116257.6163
MEM 3033.628906 1614116257.7168
MEM 3042.097656 1614116257.8171
MEM 3050.699219 1614116257.9174
MEM 3059.328125 1614116258.0178
MEM 3064.082031 1614116258.1183
MEM 3072.960938 1614116258.2186
MEM 3081.453125 1614116258.3189
MEM 3090.007812 1614116258.4192
MEM 3098.605469 1614116258.5196
MEM 3107.289062 1614116258.6199
MEM 3115.945312 1614116258.7202
MEM 3124.527344 1614116258.8206
MEM 3133.214844 1614116258.9210
MEM 3141.765625 1614116259.0213
MEM 3150.562500 1614116259.1217
MEM 3155.011719 1614116259.2223
MEM 3158.953125 1614116259.3227
MEM 3166.812500 1614116259.4231
MEM 3175.074219 1614116259.5234
MEM 3183.441406 1614116259.6238
MEM 3191.980469 1614116259.7241
MEM 3200.679688 1614116259.8245
MEM 3209.125000 1614116259.9248
MEM 3217.750000 1614116260.0252
MEM 3226.214844 1614116260.1256
MEM 3234.527344 1614116260.2259
MEM 3242.984375 1614116260.3262
MEM 3251.437500 1614116260.4266
MEM 3260.031250 1614116260.5269
MEM 3268.187500 1614116260.6272
MEM 3276.074219 1614116260.7276
MEM 3284.781250 1614116260.8279
MEM 3293.441406 1614116260.9283
MEM 3301.695312 1614116261.0286
MEM 3310.617188 1614116261.1290
MEM 3319.105469 1614116261.2293
MEM 3327.144531 1614116261.3297
MEM 3336.035156 1614116261.4300
MEM 3343.527344 1614116261.5303
MEM 3351.773438 1614116261.6307
MEM 3360.425781 1614116261.7311
MEM 3369.070312 1614116261.8314
MEM 3377.851562 1614116261.9318
MEM 3386.117188 1614116262.0321
MEM 3394.675781 1614116262.1325
MEM 3402.941406 1614116262.2328
MEM 3411.460938 1614116262.3332
MEM 3419.835938 1614116262.4336
MEM 3428.226562 1614116262.5339
MEM 3436.699219 1614116262.6342
MEM 3445.199219 1614116262.7346
MEM 3453.218750 1614116262.8349
MEM 3461.644531 1614116262.9352
MEM 3469.847656 1614116263.0356
MEM 3478.031250 1614116263.1359
MEM 3486.667969 1614116263.2363
MEM 3495.160156 1614116263.3366
MEM 3503.500000 1614116263.4370
MEM 3512.007812 1614116263.5373
MEM 3520.652344 1614116263.6377
MEM 3529.078125 1614116263.7380
MEM 3537.535156 1614116263.8384
MEM 3545.910156 1614116263.9388
MEM 3554.457031 1614116264.0391
MEM 3562.800781 1614116264.1395
MEM 3571.574219 1614116264.2398
MEM 3579.777344 1614116264.3401
MEM 3588.132812 1614116264.4405
MEM 3596.277344 1614116264.5408
MEM 3604.750000 1614116264.6412
MEM 3612.988281 1614116264.7416
MEM 3620.976562 1614116264.8419
MEM 3629.453125 1614116264.9423
MEM 3637.890625 1614116265.0426
MEM 3646.093750 1614116265.1430
MEM 3653.898438 1614116265.2434
MEM 3661.722656 1614116265.3437
MEM 3670.496094 1614116265.4441
MEM 3678.968750 1614116265.5444
MEM 3687.726562 1614116265.6448
MEM 3696.164062 1614116265.7451
MEM 3705.003906 1614116265.8455
MEM 3713.093750 1614116265.9458
MEM 3721.582031 1614116266.0461
MEM 3729.636719 1614116266.1465
MEM 3738.343750 1614116266.2469
MEM 3746.828125 1614116266.3472
MEM 3748.812500 1614116266.4476
MEM 3748.812500 1614116266.5481
MEM 3748.812500 1614116266.6486
MEM 3748.812500 1614116266.7492
MEM 3748.812500 1614116266.8497
MEM 3748.812500 1614116266.9501
MEM 3748.812500 1614116267.0506
MEM 3748.812500 1614116267.1510
MEM 3748.812500 1614116267.2515
MEM 3748.812500 1614116267.3520
MEM 3748.812500 1614116267.4525
MEM 3748.812500 1614116267.5530
MEM 3748.812500 1614116267.6534
MEM 3748.812500 1614116267.7539
MEM 3748.812500 1614116267.8542
MEM 3748.812500 1614116267.9547
MEM 3748.812500 1614116268.0551
MEM 3748.812500 1614116268.1555
MEM 3748.812500 1614116268.2559
