CMDLINE python python/solution_loop.py
MEM 18.402344 1614526271.6560
MEM 18.402344 1614526271.7563
MEM 18.402344 1614526271.8566
MEM 18.402344 1614526271.9569
MEM 18.402344 1614526272.0572
MEM 18.402344 1614526272.1575
MEM 18.402344 1614526272.2578
MEM 18.652344 1614526272.3582
MEM 18.652344 1614526272.4585
MEM 18.652344 1614526272.5589
MEM 18.652344 1614526272.6592
MEM 18.652344 1614526272.7595
MEM 18.652344 1614526272.8599
MEM 18.652344 1614526272.9602
MEM 18.652344 1614526273.0606
MEM 18.902344 1614526273.1609
MEM 18.902344 1614526273.2613
MEM 18.902344 1614526273.3616
MEM 18.902344 1614526273.4619
MEM 18.902344 1614526273.5622
MEM 18.902344 1614526273.6625
MEM 18.902344 1614526273.7628
MEM 19.152344 1614526273.8631
MEM 19.152344 1614526273.9634
MEM 19.152344 1614526274.0637
MEM 19.152344 1614526274.1641
MEM 19.152344 1614526274.2644
MEM 19.152344 1614526274.3648
MEM 19.152344 1614526274.4652
MEM 19.402344 1614526274.5655
MEM 19.402344 1614526274.6658
MEM 19.402344 1614526274.7661
MEM 19.402344 1614526274.8664
MEM 19.402344 1614526274.9667
MEM 19.402344 1614526275.0670
MEM 19.652344 1614526275.1673
MEM 19.652344 1614526275.2676
MEM 19.652344 1614526275.3679
MEM 19.652344 1614526275.4682
MEM 19.652344 1614526275.5686
MEM 19.652344 1614526275.6689
MEM 19.902344 1614526275.7692
MEM 19.902344 1614526275.8695
MEM 19.902344 1614526275.9698
MEM 19.902344 1614526276.0701
MEM 19.902344 1614526276.1704
MEM 19.902344 1614526276.2708
MEM 19.902344 1614526276.3711
MEM 20.152344 1614526276.4714
MEM 22.699219 1614526276.5717
MEM 22.699219 1614526276.6721
MEM 22.699219 1614526276.7724
MEM 22.699219 1614526276.8727
MEM 22.902344 1614526276.9731
MEM 22.902344 1614526277.0734
MEM 22.902344 1614526277.1737
MEM 22.902344 1614526277.2740
MEM 22.902344 1614526277.3743
MEM 22.902344 1614526277.4746
MEM 23.152344 1614526277.5749
MEM 23.152344 1614526277.6753
MEM 23.152344 1614526277.7755
MEM 23.152344 1614526277.8759
MEM 23.402344 1614526277.9762
MEM 23.402344 1614526278.0765
MEM 23.402344 1614526278.1768
MEM 23.402344 1614526278.2771
MEM 23.652344 1614526278.3774
MEM 23.652344 1614526278.4777
MEM 23.652344 1614526278.5781
MEM 23.902344 1614526278.6784
MEM 23.902344 1614526278.7787
MEM 23.902344 1614526278.8790
MEM 23.902344 1614526278.9793
MEM 24.152344 1614526279.0797
MEM 24.152344 1614526279.1800
MEM 24.152344 1614526279.2803
MEM 24.152344 1614526279.3806
MEM 24.402344 1614526279.4809
MEM 24.402344 1614526279.5812
