CMDLINE python python/solution_pandas_few_cols.py
MEM 390.660156 1614118228.9027
MEM 234.753906 1614118229.0030
MEM 266.980469 1614118229.1035
MEM 336.625000 1614118229.2039
MEM 235.414062 1614118229.3043
MEM 243.402344 1614118229.4047
MEM 306.050781 1614118229.5051
MEM 368.632812 1614118229.6055
MEM 397.734375 1614118229.7059
MEM 421.027344 1614118229.8063
MEM 318.445312 1614118229.9067
MEM 318.445312 1614118230.0071
MEM 318.445312 1614118230.1075
MEM 357.398438 1614118230.2078
MEM 324.957031 1614118230.3082
MEM 368.269531 1614118230.4086
MEM 409.570312 1614118230.5090
MEM 89.750000 1614118230.6093
