CMDLINE python python/solution_dask.py
MEM 2769.703125 1614118578.2336
MEM 2790.843750 1614118578.3340
MEM 2814.515625 1614118578.4343
MEM 2760.113281 1614118578.5346
MEM 2756.257812 1614118578.6349
MEM 2756.257812 1614118578.7353
MEM 2756.257812 1614118578.8356
MEM 2756.460938 1614118578.9360
MEM 2835.625000 1614118579.0364
MEM 2746.531250 1614118579.1367
MEM 2504.039062 1614118579.2370
MEM 2295.289062 1614118579.3374
MEM 1802.242188 1614118579.4378
MEM 1203.488281 1614118579.5381
MEM 0.000000 1614118579.6385
